Line,Station,Lat,Long,E_WGS84_Z7,N_WGS84_Z7,ALT,Az,Dur,Noise,rE_0011,rE_0022,rE_0045,rE_0090,rE_0180,rE_0360,rE_0720,rE_1440,rN_0011,rN_0022,rN_0045,rN_0090,rN_0180,rN_0360,rN_0720,rN_1440,iE_0011,iE_0022,iE_0045,iE_0090,iE_0180,iE_0360,iE_0720,iE_1440,iN_0011,iN_0022,iN_0045,iN_0090,iN_0180,iN_0360,iN_0720,iN_1440,SNI_0011,SNI_0022,SNI_0045,SNI_0090,SNI_0180,SNI_0360,SNI_0720,SNI_1440
0,5250,61.39796528,-139.1977449,596246,6808445,899.5,354.3,210,0.1,,-0.107,-0.071,-0.051,-0.029,-0.013,0,0.01,,-0.095,-0.026,0.039,0.076,0.091,0.09,0.093,0.127,0.051,0.039,0.039,0.039,0.035,0.032,0.031,0.053,0.099,0.107,0.092,0.06,0.033,0.022,0.013,39.3,161.9,304.8,844.5,2617.8,2710.1,882.6,560.3
0,5500,61.39962122,-139.194634,596407,6808634,862.1,201.9,155,0,,,0.067,0.037,0.058,0.07,0.068,0.109,,,0.018,0.091,0.116,0.115,0.12,0.146,,0.093,0.102,0.066,0.042,0.016,0.002,-0.107,,0.078,0.1,0.075,0.04,0.015,-0.013,-0.084,23.4,107.7,180.8,524.7,1223.4,1580.1,307.9,151.5
0,5750,61.40127584,-139.1914292,596573,6808823,853.2,343.6,173,0,,-0.097,-0.046,-0.016,0.006,0.015,0.013,0.006,,-0.056,0.003,0.056,0.074,0.066,0.057,0.053,0.152,0.062,0.04,0.038,0.026,0.012,-0.001,-0.006,0.012,0.079,0.088,0.056,0.017,-0.011,-0.022,-0.018,35.9,126.3,261.3,577.6,1247.4,1664.1,464.7,106.8
0,6000,61.40304853,-139.1883295,596733,6809025,855.7,144.8,163,0,,-0.008,-0.013,0.003,0.008,0.001,-0.016,-0.025,,-0.017,0.006,0.039,0.04,0.03,0.016,0.003,0.133,0.018,0.034,0.021,0.002,-0.012,-0.016,-0.007,-0.073,0.037,0.046,0.025,0,-0.011,-0.011,-0.002,12.1,229.3,519.6,1026.3,1529.3,1999.3,1262.2,425.1
0,6000,61.40304853,-139.1883295,596733,6809025,855.7,214.6,126,0,,0.242,0.009,0.015,0.011,0,-0.019,-0.046,,-0.136,-0.005,0.027,0.032,0.025,0.014,-0.009,-0.245,-0.016,0.03,0.021,-0.002,-0.018,-0.021,-0.014,0.035,0.08,0.053,0.03,0.005,-0.005,-0.002,0.003,13.1,162.5,247.6,720.9,1290.9,1688.1,2061.3,1481.3
0,6250,61.40468855,-139.1853871,596885,6809212,843.6,86.4,160,0,,-0.104,-0.004,-0.02,0.001,0.002,0.005,0.006,,0.033,0.026,0.026,0.039,0.043,0.056,0.081,-0.004,0.004,0.022,0.017,0.011,0.006,0.005,-0.004,0.035,0.013,0.035,0.03,0.019,0.012,0.008,-0.003,54.4,90.9,277.3,843.3,1991.6,3003.9,1612.4,453
0,6500,61.40636139,-139.1822177,597049,6809403,842.6,36.5,189,0,,-0.135,-0.036,-0.018,-0.003,0.005,0.014,0.039,,-0.028,-0.023,0.004,0.018,0.028,0.029,-0.032,0.093,0.064,0.033,0.015,0.017,0.013,0.011,0.005,-0.073,-0.012,0.023,0.028,0.023,0.02,0.018,-0.006,50.4,135.4,332.6,632.2,1180.7,1458.8,694.6,74
0,6750,61.40801897,-139.1792548,597202,6809592,830,37,200,0,-0.062,-0.022,-0.018,-0.008,0.004,0.013,0.288,0.278,-0.034,-0.037,-0.031,-0.007,0.007,0.012,0.222,0.257,0.11,0.015,0.021,0.016,0.016,0.016,-0.08,0.042,-0.178,-0.027,0.006,0.02,0.013,0.01,-0.09,0.06,39.8,207.8,441.5,625.4,530.6,202.5,80.1,38
0,7000,61.40965377,-139.175937,597374,6809779,832.7,136.7,133,0,-0.016,-0.009,-0.011,0.003,0.012,0.006,0.063,0.047,0.001,-0.033,-0.032,-0.016,-0.009,-0.009,-0.002,0.001,-0.047,-0.025,0.003,0.009,0.004,0.01,0.015,0.136,-0.108,-0.05,-0.009,0.007,0.007,0.008,0.007,0.076,65.9,191.3,451.9,660.2,428.5,301.1,108.9,26.9
0,7000,61.40965377,-139.175937,597374,6809779,832.7,204.9,166,0,0.013,-0.025,-0.015,0.002,0.01,0.013,-0.002,-0.113,0.001,-0.041,-0.043,-0.027,-0.018,-0.012,-0.009,-0.119,-0.061,-0.025,0.009,0.016,0.003,0.007,0.015,-0.001,-0.103,-0.042,-0.008,0.009,0.013,0.012,0.016,-0.061,58.6,188.5,437.9,655.4,531,243.8,63.1,20.1
